sample,Cmon_PlotID,Bodemlocatie,Diepte,Datum_staalname,Staalnemer,c_LB72X,c_LB72Y,mv_mTAW,Cmon_GRTS_Rank,CmonLU19,CmonLUtext,Bermen,Landgebruik_Cmon,Vegetatie_bij_staalname,Landcover_EUNIS,Landgebruik_MBAG,MBAG_eDNA_staal,MBAG_Nematoden_staal,LOQ_TIC,TIC_percent,LOQ_TOC,TOC,LOQ_N,TN,pH_KCl,BD,C_stock,Cdensity,N_stock,Ndensity,C_N_stockbased,SWCgrav,SWCvol,Textuur_kleifractie,Textuur_leemfractie,Textuur_Zandfractie,Bodemtoestand,Weer_bij_staalname,Weersomstandigheid,Bodemtype,UniBodemtype,Bodemserie,Bodembeschrijving_Belgisch,Textuurklasse,Drainageklasse,Profielontwikkeling,Bodemstreek,WRB_soil_unit,RSG,rsg_pq_cod,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morph,sq_fertility,Bodemassociatie,mycorrhiza_total_rich,patho_rich,n_fixers_rich,bd_0_10,cstock_sum,18S_universal_nematoda_observed,18S_nema_edna_Nematoda_observed,18S_nema_extract_Nematoda_observed,18S_universal_annelida_observed,InseKP_annelida_observed,InseKP_annelida_bold_observed,18S_nema_edna_Nematoda_total_count,18S_nema_extract_Nematoda_total_count,18S_universal_nematoda_total_count,InseKP_annelida_total_count,InseKP_annelida_bold_total_count
p5965fee_10_30,P5965fee,CMON_P5965fee,45960,2022-11-24,ILVO,98215,204455,6.87,548,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,2.06,NA,0.204,5.1,1.35,55.6,2.78,5.51,0.28,10.09,21.5,29,12.85,35.2,51.95,Normaal,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,Lep,Lep,Lep,Natte zandleembodem zonder profiel,L,e,p,Zandstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Fluvic,Eutric,Centrale Vlaamse laagvlakte,-0.2760838519,-0.6902194283,NA,-0.037788091,0.5926034953,14,NA,NA,4,0,3,NA,NA,1021,0,33284
p93d6267_0_10,P93d6267,CMON_P93d6267,0-10,2023-02-02,ILVO,57585,178585,31.6,1893,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.547,NA,0.059,5.8,1.43,7.82,0.78,0.84,0.08,9.31,27.1,38.8,13.77,26.26,59.97,NA,NA,NA,Phc,Phc,Phc,Natte licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,h,c,Zandleemstreek,Eutric Retic Stagnosols (Loamic),Stagnosols,ST-rt.eu,Retic,Eutric,NA,Stagnic,Loamic,NA,Eutric,Polder-Leie interfluvium,-1.044970227,0.9507727728,0.0198564237,-0.8203207656,-1.175065221,11,NA,NA,7,4,9,NA,NA,1595,5,1503
p93d6267_10_30,P93d6267,CMON_P93d6267,45960,2023-02-02,ILVO,57585,178585,31.6,1893,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.9,NA,0.09,6.5,1.43,25.69,1.28,2.57,0.13,10,25.4,36.3,14.32,25.9,59.78,NA,NA,NA,Phc,Phc,Phc,Natte licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,h,c,Zandleemstreek,Eutric Retic Stagnosols (Loamic),Stagnosols,ST-rt.eu,Retic,Eutric,NA,Stagnic,Loamic,NA,Eutric,Polder-Leie interfluvium,-1.044970227,0.9507727728,0.0198564237,-0.8203207656,-1.175065221,4,NA,NA,0,13,26,NA,NA,230,229578,623996
p94cf3fb_10_30,P94cf3fb,CMON_P94cf3fb,45960,2022-02-15,ILVO,74825,178155,18.89,1457,4,Akkerland,0,Akker,braak met opgeroerde mest,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.07,NA,0.112,7,1.58,33.71,1.69,3.53,0.18,9.55,19.2,30.3,12.35,33.42,54.23,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,Sbcz,Sbcz,Sbc,Droge lemig zandbodem met sterk gevlekte_ verbrokkelde textuur B horizont,S,b,c,Zandstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,NA,NA,NA,Loamic,NA,Eutric,Zuidelijke Vlaamse laagvlakte,NA,NA,NA,-0.7379489051,-0.6475971632,13,NA,NA,0,4,6,NA,NA,2331,1735,11304
p2451314_10_30,P2451314,CMON_P2451314,45960,2022-03-17,INBO,168835,227955,26.05,17443,6,Afgedekt,1,Ruimtebeslag bermen,gras,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,NA,0.16,NA,1.58,NA,0.079,7.8,1.64,46.51,2.33,2.59,0.13,17.97,12.7,20.8,9.11,31.96,58.93,Normaal,Gedeeltelijk bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Zcm,Zcm,Zcm,Matig droge zandbodem met dikke antropogene humus A horizont,Z,c,m,Kempen,Plaggic Anthrosols (Arenic),Anthrosols,AT-pa,Plaggic,NA,NA,NA,Arenic,NA,Dystric,Kempische cuesta,NA,NA,NA,0.1681415602,-0.2477217657,30,NA,NA,6,3,21,NA,NA,1637,1399,37036
p94471b9_0_10,P94471b9,CMON_P94471b9,0-10,2022-08-23,INBO,183605,178395,42.89,1582,2,Natuur,0,Natuur,Smalle weegbree_ paardenbloem_ rode klaver_ ridderzuring_ grassen,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,1.54,NA,0.14,5.1,1.45,22.28,2.23,2.03,0.2,11,7.9,11.4,17.46,54.34,28.2,Uitgedroogd,Zonnig / helder,Geen neerslag in afgelopen week,sLca,sLca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandleemstreek,Haplic Luvisols (Loamic_ Ruptic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,Ruptic,Eutric,Hagelands heuvelland,0.2621366107,-1.687685276,0.939870722,-0.9026926261,-0.8731809867,31,26,119,11,6,21,851,66174,12741,216668,373528
p94471b9_10_30,P94471b9,CMON_P94471b9,45960,2022-08-23,INBO,183605,178395,42.89,1582,2,Natuur,0,Natuur,Smalle weegbree_ paardenbloem_ rode klaver_ ridderzuring_ grassen,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,0.89,NA,0.091,5.3,1.3,23.06,1.15,2.36,0.12,9.78,7.5,9.7,18.19,52.95,28.87,Uitgedroogd,Zonnig / helder,Geen neerslag in afgelopen week,sLca,sLca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandleemstreek,Haplic Luvisols (Loamic_ Ruptic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,Ruptic,Eutric,Hagelands heuvelland,0.2621366107,-1.687685276,0.939870722,-0.9026926261,-0.8731809867,10,NA,NA,2,7,18,NA,NA,760,1228616,1252291
pb6d4f64_10_30,Pb6d4f64,CMON_Pb6d4f64,45960,2022-03-15,INBO,83395,163095,19.13,3633,6,Afgedekt,0,Ruimtebeslag bermen,gras_ brandnetel_ fluitenkruid_ klaver,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,NA,0.61,NA,7.16,NA,0.223,7.7,1.14,149.6,7.48,5.09,0.25,29.37,19.8,22.6,10.12,47.82,42.06,Normaal,Buien (wisselvallig),Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Ldc,Ldc,Ldc,Matig natte zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,d,c,Zandleemstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Zuidelijke Vlaamse laagvlakte,0.03147069815,-0.4971615223,NA,1.238975747,3.05131406,18,NA,NA,2,11,34,NA,NA,2809,165478,474630
p21900de_10_30,P21900de,CMON_P21900de,45960,2022-02-28,ILVO,185735,229175,24.84,3283,4,Akkerland,0,Akker,gras ingezaaid met maïsstoppels,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.23,NA,0.09,4.3,1.43,35.27,1.76,2.58,0.13,13.67,20.6,29.5,10.06,30.7,59.24,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Sdg,Sdg,Sdg,Matig natte lemig zandbodem met duidelijke ijzer en/of humus B horizont,S,d,g,Kempen,Gleyic Podzols (Loamic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Loamic,NA,Dystric,Kempische cuesta,-0.2760838519,0.1785411487,NA,-0.5732051842,-0.6493834605,26,NA,NA,4,11,18,NA,NA,1799,441564,819608
p566fd61_10_30,P566fd61,CMON_P566fd61,45960,2022-09-30,ILVO,75285,205765,7.36,1636,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,1.61,NA,0.128,4.8,1.42,45.84,2.29,3.64,0.18,12.59,20.3,28.8,10.14,38.01,51.85,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Sep,Sep,Sep,Natte lemig zandbodem zonder profiel,S,e,p,Zandstreek,Eutric Gleyic Cambisols (Loamic),Cambisols,CM-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,West-Vlaams cuestaland,-1.121858865,1.40124122,NA,0.3740712114,0.5744853375,17,NA,NA,4,2,10,NA,NA,3313,55109,246557
p22c1e7a_10_30,P22c1e7a,CMON_P22c1e7a,45960,2022-11-25,INBO,158735,228645,27.22,19299,2,Natuur,0,Natuur,Pijpenstrootje_ dophei,R3 (Seasonally wet and wet grasslands),Heide,1,1,LT,0.01,NA,1.41,NA,0.047,3.9,1.49,41.92,2.1,1.4,0.07,30,20.8,31,3.2,5.84,90.96,Normaal,Bewolkt,Geen neerslag in de afgelopen 24 uur,Zeg,Zeg,Zeg,Natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,e,g,Kempen,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,NA,NA,NA,NA,NA,NA,NA,Kempische cuesta,1.261688898,1.755180715,NA,0.3740712114,0.1843069822,4,NA,NA,1,6,8,NA,NA,63,3548,17740
p95b3e82_0_10,P95b3e82,CMON_P95b3e82,0-10,2023-02-20,ILVO,202335,177765,30.96,4078,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.26,NA,0.126,5.5,1.43,17.97,1.8,1.8,0.18,9.98,25.4,36.3,13.27,62.04,24.69,NA,NA,NA,Ldp(c),Ldp(c),Ldp,Matig natte zandleembodem zonder profiel,L,d,p,Zandleemstreek,Gleyic Luvisols (Loamic_ Colluvic),Luvisols,LV-gl,Gleyic,NA,NA,Endogleyic,Loamic,Colluvic,Eutric,Hagelands heuvelland,-0.7374156771,-1.945095817,1.465593178,-0.8203207656,-0.6192715926,13,NA,NA,2,3,4,NA,NA,2418,383072,383879
p95b3e82_10_30,P95b3e82,CMON_P95b3e82,45960,2023-02-20,ILVO,202335,177765,30.96,4078,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.31,NA,0.127,5.6,1.42,37.32,1.87,3.62,0.18,10.31,25,35.5,13.38,62.43,24.19,NA,NA,NA,Ldp(c),Ldp(c),Ldp,Matig natte zandleembodem zonder profiel,L,d,p,Zandleemstreek,Gleyic Luvisols (Loamic_ Colluvic),Luvisols,LV-gl,Gleyic,NA,NA,Endogleyic,Loamic,Colluvic,Eutric,Hagelands heuvelland,-0.7374156771,-1.945095817,1.465593178,-0.8203207656,-0.6192715926,24,NA,NA,1,2,7,NA,NA,1539,199033,223440
pa5a8b0f_10_30,Pa5a8b0f,CMON_Pa5a8b0f,45960,2023-01-17,ILVO,40945,170695,23.89,229,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.15,NA,0.122,7,1.52,34.9,1.75,3.7,0.19,9.43,23.8,36.1,14.15,42.34,43.51,NA,NA,NA,Lhp(o),Lhp(o),Lhp,Natte zandleembodem zonder profiel,L,h,p,Zandleemstreek,Eutric Fluvic Oxygleyic Gleysols (Loamic_ Fluvic),Gleysols,GL-oy.fv.eu,Oxygleyic,Fluvic,Eutric,Stagnic,Loamic,Fluvic,Eutric,Polder-Leie interfluvium,-0.583638402,-1.172864193,NA,-1.108622277,-0.6506593871,9,NA,NA,1,1,10,NA,NA,612,2189,54915
p6ae1af7_10_30,P6ae1af7,CMON_P6ae1af7,45960,2023-04-18,INBO,77345,196715,20.25,18097,2,Natuur,0,Natuur,grassen_ pitrus,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,1.38,NA,0.11,5,1.3,35.96,1.8,2.87,0.14,12.54,27.4,35.6,5.11,10.37,84.52,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Zdgd,Zdgd,Zdg,Matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,d,g,Zandstreek,Gleyic Podzols (Arenic_ Ruptic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Arenic,Ruptic,Dystric,West-Vlaams cuestaland,1.569243449,0.04983587807,NA,0.291699351,-0.1800976557,13,NA,NA,1,4,9,NA,NA,1368,66462,67824
pbac4603_10_30,Pbac4603,CMON_Pbac4603,45960,2022-02-23,ILVO,129945,161355,63.34,1377,4,Akkerland,0,Akker,gele mosterd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.29,NA,0.137,6.4,1.41,36.45,1.82,3.87,0.19,9.42,27.1,38.3,21.15,67.38,11.47,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Aba1,Aba1,Aba,Droge leembodem met textuur B horizont,A,b,a,Leemstreek,Nudiargic Luvisols (Siltic),Luvisols,LV-ng,Nudiargic,NA,NA,NA,Siltic,NA,Eutric,Dender-Zenne interfluvium,-0.7374156771,-0.7867483814,NA,-0.2849036725,-0.6067675119,26,NA,NA,2,4,14,NA,NA,3460,195862,2710419
p945d8ce_10_30,P945d8ce,CMON_P945d8ce,45960,2022-03-22,INBO,155335,178355,25.17,19982,8,Niet-geklasseerd,0,Ruimtebeslag bermen,gras_ fruitbomen,T4 (Lines of trees_ small anthropogenic forests_ recently felled forest_ early-stage forest and coppice),Residentieel grasland,1,1,NA,0.02,NA,0.95,NA,0.067,7,1.8,33.55,1.68,2.42,0.12,13.88,11.1,20,12.41,29.2,58.39,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Pdc(o),Pdc(o),Pdc,Matig natte licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,d,c,Zandleemstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Brabants plateau,NA,NA,NA,-1.47929565,-0.4105300003,33,NA,NA,5,2,12,NA,NA,24058,263647,514485
p9785b36_0_10,P9785b36,CMON_P9785b36,0-10,2022-03-22,ILVO,93975,176955,38.57,1329,4,Akkerland,0,Akker,geploegd in het najaar,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.18,NA,0.132,6.1,1.45,17.11,1.71,1.91,0.19,8.96,25.1,36.3,26.78,47.91,25.31,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,wLba,wLba,Lba,Droge zandleembodem met textuur B horizont,L,b,a,Zandleemstreek,Haplic Luvisols (Loamic_ Ruptic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,Ruptic,Eutric,Leie-Schelde interfluvium,NA,NA,-0.5058660324,-0.9026926261,-0.8708843188,11,NA,NA,2,2,8,NA,NA,1380,913,180746
p9785b36_10_30,P9785b36,CMON_P9785b36,45960,2022-03-22,ILVO,93975,176955,38.57,1329,4,Akkerland,0,Akker,geploegd in het najaar,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.02,NA,0.12,6,1.39,28.32,1.42,3.33,0.17,8.5,29,40.4,26.02,45.28,28.7,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,wLba,wLba,Lba,Droge zandleembodem met textuur B horizont,L,b,a,Zandleemstreek,Haplic Luvisols (Loamic_ Ruptic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,Ruptic,Eutric,Leie-Schelde interfluvium,NA,NA,-0.5058660324,-0.9026926261,-0.8708843188,7,NA,NA,0,0,0,NA,NA,637,0,0
p97d100f_0_10,P97d100f,CMON_P97d100f,0-10,2022-01-28,ILVO,98945,176825,15.84,305,4,Akkerland,0,Akker,gele mosterd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.26,NA,0.119,6.1,1.44,18.09,1.81,1.71,0.17,10.58,25.5,36.7,14.55,62.8,22.65,Normaal,Mist,Neerslag maar zonder hevige buien afgelopen 24 uur,Lca,Lca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Zuidelijke Vlaamse laagvlakte,-0.6605270395,0.3072464194,3.305621775,-0.8615066959,-0.7968805758,1,64,115,0,10,20,36967,52357,5,176802,299881
p97d100f_10_30,P97d100f,CMON_P97d100f,45960,2022-01-28,ILVO,98945,176825,15.84,305,4,Akkerland,0,Akker,gele mosterd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.09,NA,0.107,6.1,1.39,30.24,1.51,2.97,0.15,10.18,24.4,33.9,15.48,62.37,22.15,Normaal,Mist,Neerslag maar zonder hevige buien afgelopen 24 uur,Lca,Lca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Zuidelijke Vlaamse laagvlakte,-0.6605270395,0.3072464194,3.305621775,-0.8615066959,-0.7968805758,14,NA,NA,2,3,13,NA,NA,334,997832,1437033
pb0d03be_10_30,Pb0d03be,CMON_Pb0d03be,45960,2022-02-08,ILVO,222135,165765,74.68,1518,4,Akkerland,0,Akker,Wintergraan,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.03,NA,0.114,6.3,1.42,29.23,1.46,3.24,0.16,9.02,27.2,38.6,26.81,67.26,5.93,Waterverzadigd,Bewolkt,Geen neerslag in de afgelopen 24 uur,Aba1,Aba1,Aba,Droge leembodem met textuur B horizont,A,b,a,Leemstreek,Nudiargic Luvisols (Siltic),Luvisols,LV-ng,Nudiargic,NA,NA,NA,Siltic,NA,Eutric,Plateau van Haspengouw,-0.429861127,-0.625866793,NA,-0.8615066959,-0.8425587482,17,NA,NA,1,6,16,NA,NA,1158,586587,1109825
p5ffd6cb_10_30,P5ffd6cb,CMON_P5ffd6cb,45960,2023-03-30,ILVO,46345,201535,2.61,4124,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,1.15,NA,2.9,NA,0.202,7.8,1.21,42.46,2.12,4.9,0.25,8.67,40.9,49.5,40.77,53.15,6.08,NA,NA,NA,OU2,OU2,OBV,Uitgeveende gronden,NA,NA,NA,Kunstmatige gronden,Calcaric Fluvic Gleyic Cambisols (Clayic_ Fluvic_ Relocatic_ Thaptohistic),Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,Endogleyic,Clayic,Fluvic_ Relocatic_ Thaptohistic,Calcaric,Kustvlakte_ Oudland,0.9541343484,0.7255385491,NA,0.04458376949,-0.3074351308,3,NA,NA,3,5,15,NA,NA,45,54162,3508442
p425d356_10_30,P425d356,CMON_P425d356,45960,2023-02-13,ILVO,183415,214655,15.1,275,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.85,NA,0.079,4.9,1.4,23.74,1.19,2.21,0.11,10.74,25.2,35.3,11.02,13.26,75.72,NA,NA,NA,Zep,Zep,Zep,Natte zandbodem zonder profiel,Z,e,p,Kempen,Dystric Fluvic Gleyic Arenosols (Fluvic),Arenosols,AR-gl.fv.dy,Gleyic,Fluvic,Dystric,Endogleyic,Arenic,Fluvic,Dystric,Depressie van de Netes,-0.8911929521,1.079478044,NA,-0.3260896027,-1.139849647,9,NA,NA,6,16,32,NA,NA,2140,1617250,1688955
p830c7f8_10_30,P830c7f8,CMON_P830c7f8,45960,2022-03-09,ILVO,27595,186015,15.71,293,4,Akkerland,0,Akker,wintergraan,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.08,NA,0.123,6.5,1.48,32.07,1.6,3.65,0.18,8.79,24.7,36.5,13.93,68.85,17.22,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Lca,Lca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,-0.6605270395,-1.49462737,NA,-0.8203207656,-0.7499264768,10,NA,NA,2,3,7,NA,NA,1425,2101758,2201933
p666bf52_10_30,P666bf52,CMON_P666bf52,45960,2023-05-31,INBO,214415,198695,54.98,42387,2,Natuur,0,Natuur,grassen,S4 (Temperate shrub heathland),Heide,1,1,LT,0.01,NA,1.5,NA,0.044,3.6,1.42,42.73,2.14,1.25,0.06,34.09,7.5,10.7,5.14,8.15,86.71,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,ZAg,ZAg,ZAg,Zeer droge tot matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,a-d,g,Kempen,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Maasterrassen,1.107911623,1.690828079,NA,0.04458376949,-0.2405765767,12,NA,NA,3,7,8,NA,NA,641,1515321,1578020
p8e05037_10_30,P8e05037,CMON_P8e05037,45960,2023-02-17,INBO,177585,181165,15.09,25998,2,Natuur,0,Natuur,grassen_ kruidachtigen,R2 (Mesic grasslands),Natuurgrasland,1,1,LT,0.01,NA,1.15,NA,0.097,4.5,1.46,33.47,1.67,2.82,0.14,11.86,23.3,33.9,12.7,55.39,31.91,Normaal,Bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Ldc,Ldc,Ldc,Matig natte zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,d,c,Zandstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Oostelijke Vlaamse laagvlakte,1.646132086,0.5003043254,NA,-0.202531812,-0.4595255819,19,NA,NA,4,2,9,NA,NA,1215,230151,650202
p9b72a5f_0_10,P9b72a5f,CMON_P9b72a5f,0-10,2023-04-11,ILVO,39505,175215,18.12,3301,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.94,NA,0.108,5.8,1.54,14.48,1.45,1.66,0.17,8.72,22.4,34.5,11.4,50.63,37.97,NA,NA,NA,Lba,Lba,Lba,Droge zandleembodem met textuur B horizont,L,b,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,0.5696911608,1.27253595,-0.1115741903,-1.273365998,-0.2959517913,15,NA,NA,2,9,16,NA,NA,1015,337539,554009
p9b72a5f_10_30_1,P9b72a5f,CMON_P9b72a5f,45960,2023-04-11,ILVO,39505,175215,18.12,3301,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.91,NA,0.103,6.1,1.47,26.74,1.34,3.03,0.15,8.83,22.3,32.8,11.33,50.93,37.74,NA,NA,NA,Lba,Lba,Lba,Droge zandleembodem met textuur B horizont,L,b,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,0.5696911608,1.27253595,-0.1115741903,-1.273365998,-0.2959517913,NA,NA,NA,NA,4,16,NA,NA,NA,66838,330527
p9b72a5f_10_30_2,P9b72a5f,CMON_P9b72a5f,45960,2023-04-11,ILVO,39505,175215,18.12,3301,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.91,NA,0.103,6.1,1.47,26.74,1.34,3.03,0.15,8.83,22.3,32.8,11.33,50.93,37.74,NA,NA,NA,Lba,Lba,Lba,Droge zandleembodem met textuur B horizont,L,b,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,0.5696911608,1.27253595,-0.1115741903,-1.273365998,-0.2959517913,0,NA,NA,2,NA,NA,NA,NA,0,NA,NA
p9bb3d0a_0_10,P9bb3d0a,CMON_P9bb3d0a,0-10,2022-12-21,ILVO,103055,175105,13.97,1953,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,5.9,NA,0.578,5.4,0.91,53.9,5.39,5.28,0.53,10.21,62.4,56.8,28.34,58.85,12.81,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,uLep,uLep,Lep,Natte zandleembodem zonder profiel,L,e,p,Zandleemstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Abruptic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Abruptic_ Fluvic,Eutric,Zuidelijke Vlaamse laagvlakte,0.7234684358,0.3072464194,-0.5058660324,1.321347607,0.8944877296,41,NA,NA,4,9,32,NA,NA,5843,393426,1178615
p9bb3d0a_10_30,P9bb3d0a,CMON_P9bb3d0a,45960,2022-12-21,ILVO,103055,175105,13.97,1953,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,2.3,NA,0.259,5.2,1.32,60.71,3.04,6.84,0.34,8.88,34.1,45,29.63,58.67,11.7,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,uLep,uLep,Lep,Natte zandleembodem zonder profiel,L,e,p,Zandleemstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Abruptic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Abruptic_ Fluvic,Eutric,Zuidelijke Vlaamse laagvlakte,0.7234684358,0.3072464194,-0.5058660324,1.321347607,0.8944877296,32,NA,NA,6,4,25,NA,NA,2706,181655,1784980
p63709a4_10_30,P63709a4,CMON_P63709a4,45960,2023-05-31,INBO,215555,200015,61.96,50579,2,Natuur,0,Natuur,Pijpenstrootje_ struikhei,S4 (Temperate shrub heathland),Heide,1,1,LT,0.01,NA,3.02,NA,0.095,3.7,1.5,90.65,4.53,2.85,0.14,31.79,12,18.1,3.56,7.32,89.12,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,Zbg,Zbg,Zbg,Droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,b,g,Kempen,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,NA,NA,NA,NA,NA,NA,NA,Maasterrassen,0.5696911608,1.433417538,NA,1.572581782,2.141833577,20,NA,NA,1,6,8,NA,NA,5516,131822,142239
